block,plot,nutrient_levels,salt_presence,ID,coloration,drySampleWeight_mg_Week0,drySampleWeight_mg_Week1,drySampleWeight_mg_Week2,drySampleWeight_mg_Week3,drySampleWeight_mg_Week4,drySampleWeight_mg_Week5,Na_ppm_Week0,NH4_ppm_Week0,K_ppm_Week0,Ca_ppm_Week0,Mg_ppm_Week0,Na_ppm_Week1,NH4_ppm_Week1,K_ppm_Week1,Ca_ppm_Week1,Mg_ppm_Week1,Na_ppm_Week2,NH4_ppm_Week2,K_ppm_Week2,Ca_ppm_Week2,Mg_ppm_Week2,Na_ppm_Week3,NH4_ppm_Week3,K_ppm_Week3,Ca_ppm_Week3,Mg_ppm_Week3,Na_ppm_Week4,NH4_ppm_Week4,K_ppm_Week4,Ca_ppm_Week4,Mg_ppm_Week4,Na_ppm_Week5,NH4_ppm_Week5,K_ppm_Week5,Ca_ppm_Week5,Mg_ppm_Week5,F_ppm_Week0,Cl_ppm_Week0,NO2_ppm_Week0,Br_ppm_Week0,NO3_ppm_Week0,PO4_ppm_Week0,SO4_ppm_Week0,F_ppm_Week1,Cl_ppm_Week1,NO2_ppm_Week1,Br_ppm_Week1,NO3_ppm_Week1,PO4_ppm_Week1,SO4_ppm_Week1,F_ppm_Week2,Cl_ppm_Week2,NO2_ppm_Week2,Br_ppm_Week2,NO3_ppm_Week2,PO4_ppm_Week2,SO4_ppm_Week2,F_ppm_Week3,Cl_ppm_Week3,NO2_ppm_Week3,Br_ppm_Week3,NO3_ppm_Week3,PO4_ppm_Week3,SO4_ppm_Week3,F_ppm_Week4,Cl_ppm_Week4,NO2_ppm_Week4,Br_ppm_Week4,NO3_ppm_Week4,PO4_ppm_Week4,SO4_ppm_Week4,F_ppm_Week5,Cl_ppm_Week5,NO2_ppm_Week5,Br_ppm_Week5,NO3_ppm_Week5,PO4_ppm_Week5,SO4_ppm_Week5
a,1,medium,yes,a1nMsY,orange,498.8,447.8,517.2,488.4,454.8,506.7,5.059963,4.322293,8.295371,27.01456,4.06109,77.98721,-1.08489,6.503857,17.96988,0.801234,58.09251,-0.88488,5.575459,16.58341,0.674542,83.61222,-0.72488,6.153805,11.86475,0.281795,79.65354,-0.41286,4.692721,15.9193,0.497172,18.5407,-35.3068,-14.48,-37.5067,-14.7651,0.001468,6.359616,-1.06998,-1.37437,0.372374,-4.0947,339.4459,0.001468,83.20266,-1.06998,-1.37437,-0.29119,-4.14173,59.38811,0.99481006,67.81049122,1.623588609,1.396461538,11.57929565,3.595405153,13.66559822,0.99481006,93.97833194,1.623588609,1.396461538,9.297748243,2.692429154,10.51568843,0.99481006,99.11734712,1.623588609,1.396461538,8.210658008,2.692429154,9.082196542,0.99481006,23.64688767,1.623588609,1.396461538,2.600735559,2.692429154,6.158627567
a,2,high,yes,a2nHsY,green,528.8,458.5,493.1,499.9,449.2,495.5,5.277621,4.439005,8.895371,28.79348,4.221123,70.07904,0.115165,6.686493,25.85762,0.936373,23.39416,-0.68487,2.516313,5.969329,-0.26721,90.91278,-0.66887,7.264839,19.06508,0.214226,61.84866,-0.37286,3.9013,13.84542,0.125541,203.6029,-34.7569,5.408956,26.13695,-12.2122,0.001468,-1.39318,-0.90917,-1.37437,1.647449,-4.07119,89.71785,0.001468,75.16743,-1.06998,-1.37437,20.26615,-3.36577,5.846814,0.99481006,42.74167525,1.623588609,1.396461538,33.10636648,7.397409358,18.36217032,0.99481006,103.7835975,1.623588609,1.396461538,48.92956879,8.062760094,18.73940502,0.99481006,61.32685917,1.623588609,1.396461538,25.3491053,2.692429154,12.40186196,0.99481006,101.5425693,1.623588609,1.396461538,34.36792799,2.692429154,17.28705141
a,3,medium,no,a3nMsN,orange,506.3,495.6,554.6,477.4,468.7,511.9,4.662499,4.288947,8.121687,27.03926,4.202834,2.054085,-1.1089,5.97117,19.88065,1.09685,1.289967,-0.02884,4.586183,25.35663,2.135728,3.149629,-0.58087,6.047268,21.11566,1.438919,1.520123,-0.26085,3.87086,16.4436,0.522511,-8.03569,-34.9895,0.598407,22.59263,-11.3872,0.001468,1.169904,-1.06998,-1.15864,1.140021,-4.49444,1.129478,0.001468,3.549405,-0.94134,-1.37437,5.030303,-4.49444,1.195127,0.99481006,4.625777736,1.745419584,1.396461538,10.88141056,3.35777989,6.667894421,0.99481006,5.147660998,1.623588609,1.396461538,5.996214936,2.692429154,9.157643483,0.99481006,4.582799114,1.623588609,1.396461538,3.969664003,2.692429154,9.591463395,0.99481006,6.479998266,1.623588609,1.396461538,4.238081346,2.692429154,10.30820934
a,4,high,no,a4nHsN,green,500.2,475.8,490.2,523.5,491.2,461.1,4.71928,4.397322,7.900634,25.76684,3.974215,2.468366,-0.96489,7.021325,33.92013,1.574058,1.253142,-0.33286,4.981894,26.91786,1.253104,2.468366,-0.59687,7.417035,26.80135,0.640757,1.998848,-0.33286,7.706208,19.68258,0.581634,-10.2484,-34.7357,7.38977,35.47546,-10.9635,0.001468,-1.41436,-1.06998,-1.09226,1.595406,-4.49444,45.89259,0.001468,-0.55294,-1.06998,-1.37437,17.67697,-2.7309,19.57679,0.99481006,5.405532727,1.745419584,1.396461538,20.43706794,4.213230836,9.025611336,0.99481006,5.448511349,1.623588609,1.396461538,32.43532313,6.304333149,57.33051549,0.99481006,4.619637933,1.623588609,1.396461538,28.07354132,10.62911293,17.60770091,0.99481006,5.153800801,1.623588609,1.396461538,58.01549582,12.67269019,18.32444685
a,5,control,no,a5nCsN,clear,490.1,474.8,491.3,481.9,564.1,472.8,4.511085,4.54738,6.763791,25.58153,4.413164,4.705484,-0.86088,7.873624,22.32736,0.915257,3.26931,-0.82088,5.940731,24.20318,1.379796,6.141659,-0.78088,6.001609,22.75845,1.113742,2.044879,-0.19685,4.540524,21.24382,0.505618,-8.03569,-34.778,-1.98878,37.44795,-9.62573,0.001468,-1.5697,-1.06998,-1.37437,0.034089,-4.49444,0.876261,0.001468,-1.06838,-1.06998,-1.37437,3.247799,-4.49444,2.00167,0.99481006,6.952763103,1.623588609,1.396461538,5.808322796,2.692429154,7.743013334,0.99481006,4.914348481,1.623588609,1.396461538,4.533340422,2.692429154,7.610981187,0.99481006,5.080123164,1.623588609,1.396461538,4.842020365,2.692429154,8.6861001,0.99481006,8.094766476,1.623588609,1.396461538,4.533340422,2.692429154,11.08154049
a,6,control,yes,a6nCsY,clear,549.2,558.2,517.3,503.4,444.5,475.4,5.589914,4.447341,9.653266,26.76748,4.074807,95.074,-1.04489,9.852177,24.41289,1.654296,40.19556,-0.34886,5.11887,21.74481,0.805457,79.77322,-0.73288,5.301506,11.8764,0.167772,71.75458,-0.26085,4.875356,17.95823,0.015741,5.775279,-35.0953,-15.6119,-38.3696,-15.9803,0.001468,-1.25196,-1.06998,-1.37437,0.918835,-4.49444,1.842237,0.001468,90.05873,-1.06998,-1.37437,1.608417,-4.49444,1.729696,0.99481006,48.99199478,1.623588609,1.396461538,7.767769393,2.692429154,7.309193422,2.487025149,92.74799055,4.058971522,3.491153845,7.239986588,6.731072886,17.99005752,0.99481006,94.37127934,1.623588609,1.396461538,5.848585398,2.692429154,8.025939364,0.99481006,15.46253017,1.623588609,1.396461538,2.426264287,2.692429154,6.02659542
b,1,control,no,b1nCsN,clear,509.9,455.7,475.9,482.2,459.3,542.5,4.615182,4.439005,8.042739,26.58218,4.431453,4.815959,-0.83688,9.623882,13.97358,0.805457,1.289967,-0.37286,3.779542,21.53509,0.716772,3.103597,-0.18085,6.458198,24.96049,0.995496,1.86996,-0.18885,4.160033,19.07673,0.146657,-16.4973,-33.784,-15.6524,-45.3658,-16.1698,0.001468,-1.64737,-0.94134,-1.14204,-0.09602,-4.23579,0.454233,0.001468,-1.66855,-1.06998,-1.37437,0.58055,-4.49444,0.970045,0.99481006,4.674896161,1.623588609,1.396461538,4.305185681,2.692429154,6.554724009,0.99481006,4.926628087,1.623588609,1.396461538,5.258067245,2.692429154,10.06300678,0.99481006,4.865230056,1.623588609,1.396461538,4.345448282,2.692429154,8.912440924,0.99481006,5.534468592,1.623588609,1.396461538,57.06261426,6.399383254,27.81189971
b,2,high,no,b2nHsN,green,577,470.9,507.1,487.9,488.9,469.8,4.74767,4.447341,8.390108,27.49635,4.051945,2.302654,-1.06889,6.945226,38.55723,1.624735,1.105842,-0.31686,3.992617,27.51207,0.759003,2.23821,-0.39686,7.264839,34.7357,0.797011,1.243936,-0.52487,5.56024,28.84028,0.201557,-8.32747,-35.0107,5.934478,65.67921,-12.7138,0.001468,-1.59088,-1.06998,-1.37437,0.541517,-4.23579,0.923153,0.001468,-1.03308,-1.06998,-1.37437,33.48531,-1.95494,6.025004,0.99481006,4.754713601,1.623588609,1.396461538,30.90534428,6.732058622,9.912112896,0.99481006,5.202919225,1.623588609,1.396461538,54.98237986,10.72416304,26.26523742,0.99481006,5.01258533,1.623588609,1.396461538,40.75626073,7.302359253,22.945572,0.99481006,4.245109945,1.623588609,1.396461538,2.479947755,2.692429154,6.328383185
b,3,medium,no,b3nMsN,green,509.8,475.7,484.3,498.1,481.4,553.9,4.227182,4.380649,7.616423,21.83838,4.490894,2.744554,-0.84488,7.158301,29.17816,2.169512,1.142667,-0.50087,3.536028,20.18357,0.416934,2.818204,0.683193,6.914787,21.40693,1.012388,1.667423,-0.35686,4.464426,17.45724,0.222672,-7.67097,-34.4185,2.781345,25.85957,-11.978,0.001468,-2.16281,-1.06998,-1.37437,0.060111,-4.49444,2605.211,0.001468,-1.63325,-1.06998,-1.37437,4.887182,-4.23579,1023.235,0.99481006,4.662616554,1.623588609,1.396461538,8.613284021,2.692429154,6.705617892,2.487025149,11.2881532,4.058971522,3.491153845,14.8227765,6.731072886,18.79168128,0.99481006,4.576659311,1.829764105,1.396461538,7.016200835,2.692429154,12.17552113,0.99481006,6.479998266,1.623588609,1.396461538,6.546470487,2.692429154,12.28869155
b,4,high,yes,b4nHsY,green,517.6,519.8,490.3,532.7,466.3,533.5,4.369134,4.447341,7.363792,26.63159,4.083952,71.7822,-1.07689,7.934503,27.03437,1.806327,37.84797,-0.57287,4.160033,24.70417,1.020834,67.13304,-0.42086,4.236132,16.94459,0.442272,61.45279,-0.50087,3.733884,16.05911,0.336695,291.0156,-36.4066,6.985522,14.14791,-11.6993,0.001468,-1.98629,-1.06998,-1.37437,0.359363,-4.0947,134.7904,0.001468,76.95382,-1.06998,-1.37437,22.86835,-3.64794,1600.663,0.99481006,46.99655878,1.623588609,1.396461538,14.51846555,4.403331047,12.00576552,2.487025149,82.93965513,4.058971522,3.491153845,40.49018483,9.463763408,30.10872247,0.99481006,60.82953512,1.623588609,1.396461538,24.89279581,2.692429154,13.38267219,0.99481006,123.8546137,1.623588609,1.396461538,23.81912645,2.692429154,20.00314129
